seed,n_params,train_loss,test_loss,k_path_nn,k_path_vfi
0,129,4.233883373672143e-06,4.030614491057349e-06,"[1.8046235031702813, 2.0308470726013184, 2.240919589996338, 2.422379493713379, 2.573438882827759, 2.694488048553467, 2.808270215988159, 2.8877904415130615, 2.975203037261963, 3.046055793762207, 3.1126933097839355, 3.1703343391418457, 3.235553026199341, 3.2747929096221924, 3.308295249938965, 3.3359787464141846, 3.371792793273926, 3.394157886505127, 3.4137041568756104, 3.4246225357055664, 3.436609983444214, 3.4540438652038574, 3.4608733654022217, 3.478855848312378, 3.5033886432647705, 3.5293753147125244, 3.559741973876953, 3.5793581008911133, 3.595108985900879]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
1,129,1.248323496838566e-05,9.880121979222167e-06,"[1.8046235031702813, 2.0343639850616455, 2.2475063800811768, 2.4315807819366455, 2.5937137603759766, 2.733659505844116, 2.8632330894470215, 2.950021743774414, 3.0401456356048584, 3.108942985534668, 3.170522928237915, 3.2206196784973145, 3.2769365310668945, 3.304990291595459, 3.3270204067230225, 3.3435730934143066, 3.3696205615997314, 3.382044553756714, 3.392394781112671, 3.3945324420928955, 3.3988115787506104, 3.4096269607543945, 3.40981388092041, 3.422501564025879, 3.4423274993896484, 3.4636600017547607, 3.489509105682373, 3.503854751586914, 3.514343023300171]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
2,129,3.817341621470405e-06,1.1806268958025612e-06,"[1.8046235031702813, 2.035280704498291, 2.2521533966064453, 2.4377176761627197, 2.596522331237793, 2.7249679565429688, 2.845741033554077, 2.930424213409424, 3.0211400985717773, 3.091655969619751, 3.156069278717041, 3.209585189819336, 3.2697231769561768, 3.299884080886841, 3.3236336708068848, 3.341540813446045, 3.3696067333221436, 3.383124351501465, 3.394416332244873, 3.3969123363494873, 3.40167236328125, 3.4134066104888916, 3.4137706756591797, 3.427483320236206, 3.448841094970703, 3.4716007709503174, 3.4987757205963135, 3.514211893081665, 3.5256338119506836]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
3,129,2.0571234927047044e-05,5.736802904721117e-06,"[1.8046235031702813, 2.0308728218078613, 2.239596366882324, 2.4177634716033936, 2.572702646255493, 2.695030450820923, 2.8082964420318604, 2.8858070373535156, 2.9703993797302246, 3.0375723838806152, 3.099994659423828, 3.152987003326416, 3.2132883071899414, 3.2472407817840576, 3.2754998207092285, 3.298377752304077, 3.3303635120391846, 3.349174737930298, 3.3656320571899414, 3.3736836910247803, 3.3832297325134277, 3.398730754852295, 3.4036426544189453, 3.420288324356079, 3.4439306259155273, 3.4693119525909424, 3.499419927597046, 3.518672466278076, 3.534102439880371]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
4,129,5.192012849875027e-06,5.1938704928033985e-06,"[1.8046235031702813, 2.032987117767334, 2.245321273803711, 2.429335117340088, 2.5919981002807617, 2.7222511768341064, 2.842414140701294, 2.926659345626831, 3.0169036388397217, 3.089397430419922, 3.156583309173584, 3.213979959487915, 3.277991533279419, 3.3158416748046875, 3.3476853370666504, 3.373868703842163, 3.4085779190063477, 3.428095817565918, 3.444220542907715, 3.450479745864868, 3.4584054946899414, 3.4728686809539795, 3.4751853942871094, 3.4907784461975098, 3.5137112140655518, 3.537832260131836, 3.5664777755737305, 3.582200050354004, 3.593531608581543]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
5,129,8.49186926643597e-06,5.283189693727763e-06,"[1.8046235031702813, 2.034205913543701, 2.2464873790740967, 2.4287307262420654, 2.584354877471924, 2.7139551639556885, 2.838848829269409, 2.9299845695495605, 3.024191379547119, 3.0963022708892822, 3.1608126163482666, 3.213390350341797, 3.2721972465515137, 3.301936388015747, 3.3253843784332275, 3.3431122303009033, 3.3704752922058105, 3.3838083744049072, 3.394941806793213, 3.397592782974243, 3.402372360229492, 3.413797616958618, 3.414293050765991, 3.427556037902832, 3.448115348815918, 3.4702112674713135, 3.4969334602355957, 3.5118677616119385, 3.5228352546691895]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
6,129,1.1802585504483432e-05,7.5633247433870565e-06,"[1.8046235031702813, 2.0335166454315186, 2.244534969329834, 2.4254202842712402, 2.583491086959839, 2.7089717388153076, 2.823701858520508, 2.900674343109131, 2.9843008518218994, 3.0494871139526367, 3.1094720363616943, 3.159555435180664, 3.2169923782348633, 3.246671199798584, 3.270573616027832, 3.289092540740967, 3.3175148963928223, 3.332195281982422, 3.3447318077087402, 3.3487603664398193, 3.3547961711883545, 3.3674376010894775, 3.3691415786743164, 3.383535623550415, 3.405369281768799, 3.428971529006958, 3.4574522972106934, 3.474360227584839, 3.4873108863830566]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
7,129,3.033177335964865e-06,2.442303411953617e-06,"[1.8046235031702813, 2.034294605255127, 2.2497518062591553, 2.438600540161133, 2.597329616546631, 2.7261486053466797, 2.847233772277832, 2.933537483215332, 3.024493455886841, 3.095906972885132, 3.1609959602355957, 3.2153773307800293, 3.2760775089263916, 3.3093998432159424, 3.3364672660827637, 3.357762336730957, 3.3881447315216064, 3.404423952102661, 3.417940616607666, 3.42209792137146, 3.4282898902893066, 3.4413411617279053, 3.442552089691162, 3.4572274684906006, 3.4794812202453613, 3.5031681060791016, 3.5315942764282227, 3.5473036766052246, 3.5587196350097656]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
8,129,7.291164365597069e-06,5.026669896324165e-06,"[1.8046235031702813, 2.034013509750366, 2.2468161582946777, 2.430903434753418, 2.593320369720459, 2.7234394550323486, 2.842672109603882, 2.9252941608428955, 3.0136125087738037, 3.0838165283203125, 3.1485211849212646, 3.203284740447998, 3.2646124362945557, 3.29709529876709, 3.322694778442383, 3.34206223487854, 3.3715689182281494, 3.386038064956665, 3.398099899291992, 3.401082992553711, 3.406301736831665, 3.4185633659362793, 3.4191596508026123, 3.4333295822143555, 3.4552323818206787, 3.478732109069824, 3.507120370864868, 3.5229294300079346, 3.5345053672790527]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
9,129,8.41760920593515e-05,4.8351354053011164e-05,"[1.8046235031702813, 2.0265989303588867, 2.220970869064331, 2.3768932819366455, 2.5038862228393555, 2.603355646133423, 2.697213888168335, 2.7589399814605713, 2.8295602798461914, 2.8850150108337402, 2.937285900115967, 2.981621026992798, 3.0340709686279297, 3.0618739128112793, 3.084865093231201, 3.103241443634033, 3.1309707164764404, 3.1464035511016846, 3.15993595123291, 3.1656434535980225, 3.1730642318725586, 3.1865015029907227, 3.189897060394287, 3.204848051071167, 3.226783275604248, 3.2506089210510254, 3.2792139053344727, 3.297471523284912, 3.3121461868286133]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
10,129,2.3941820472828113e-06,3.3984297260758467e-06,"[1.8046235031702813, 2.0337417125701904, 2.249222993850708, 2.4371438026428223, 2.595137596130371, 2.723158359527588, 2.843719482421875, 2.9300806522369385, 3.02394700050354, 3.101168155670166, 3.173945665359497, 3.237555980682373, 3.3058321475982666, 3.3428432941436768, 3.372030258178711, 3.394296646118164, 3.4252312183380127, 3.441269636154175, 3.454522132873535, 3.458838939666748, 3.4649810791015625, 3.4774813652038574, 3.4787702560424805, 3.4926681518554688, 3.5135936737060547, 3.5357582569122314, 3.562272787094116, 3.5767478942871094, 3.587163209915161]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
11,129,2.2118244942248566e-06,2.4449498141621007e-06,"[1.8046235031702813, 2.0337908267974854, 2.2488584518432617, 2.4373080730438232, 2.595771551132202, 2.7252659797668457, 2.846127986907959, 2.9306178092956543, 3.021444082260132, 3.094348430633545, 3.1615757942199707, 3.2180068492889404, 3.280679225921631, 3.315988779067993, 3.345031261444092, 3.368259906768799, 3.4002797603607178, 3.4187424182891846, 3.434670925140381, 3.441525459289551, 3.4499478340148926, 3.464815378189087, 3.467503547668457, 3.4833786487579346, 3.5064361095428467, 3.5307700634002686, 3.5595943927764893, 3.575507640838623, 3.5870161056518555]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
12,129,1.8700474129218492e-06,2.389616383879911e-06,"[1.8046235031702813, 2.0337564945220947, 2.248577117919922, 2.436683416366577, 2.5949866771698, 2.7244534492492676, 2.8468546867370605, 2.9343857765197754, 3.0270731449127197, 3.0993871688842773, 3.1652612686157227, 3.2200605869293213, 3.281707525253296, 3.314790964126587, 3.3416178226470947, 3.3626530170440674, 3.3932344913482666, 3.4097752571105957, 3.423916816711426, 3.4293336868286133, 3.4365696907043457, 3.4502453804016113, 3.452845811843872, 3.4680099487304688, 3.49049973487854, 3.514657497406006, 3.543602228164673, 3.56074857711792, 3.573479175567627]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
13,129,8.417556091444567e-05,4.835058643948287e-05,"[1.8046235031702813, 2.026599168777466, 2.22097110748291, 2.3768937587738037, 2.5038866996765137, 2.603355884552002, 2.697213888168335, 2.7589404582977295, 2.8295609951019287, 2.8850157260894775, 2.937286376953125, 2.981621742248535, 3.034071922302246, 3.0618746280670166, 3.0848658084869385, 3.1032419204711914, 3.1309711933135986, 3.1464040279388428, 3.1599366664886475, 3.1656441688537598, 3.173064708709717, 3.186501979827881, 3.1898975372314453, 3.204848527908325, 3.2267837524414062, 3.2506096363067627, 3.279214382171631, 3.297471761703491, 3.3121464252471924]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
14,129,1.840055119828321e-05,1.0401933650427964e-05,"[1.8046235031702813, 2.0293703079223633, 2.2345614433288574, 2.408104419708252, 2.552203416824341, 2.666240930557251, 2.77348256111145, 2.846155881881714, 2.9275190830230713, 2.992366075515747, 3.0533552169799805, 3.1055402755737305, 3.165879011154175, 3.1999106407165527, 3.228482723236084, 3.2518279552459717, 3.2847042083740234, 3.3043572902679443, 3.3217241764068604, 3.3305747509002686, 3.340963363647461, 3.357470989227295, 3.3632073402404785, 3.3809316158294678, 3.4059035778045654, 3.4327969551086426, 3.464677095413208, 3.4856128692626953, 3.502692461013794]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
15,129,2.065629587377771e-06,2.0891018266411265e-06,"[1.8046235031702813, 2.0340144634246826, 2.2492012977600098, 2.4377517700195312, 2.5967490673065186, 2.7274553775787354, 2.849219799041748, 2.933600664138794, 3.0235302448272705, 3.0949301719665527, 3.160623788833618, 3.21612286567688, 3.278156042098999, 3.3127379417419434, 3.340545177459717, 3.3621957302093506, 3.3927528858184814, 3.409219980239868, 3.4231302738189697, 3.428384304046631, 3.435356378555298, 3.4485321044921875, 3.450808525085449, 3.4653215408325195, 3.4868431091308594, 3.5098085403442383, 3.537259340286255, 3.553178310394287, 3.5651354789733887]","[1.8046235031702813, 2.039224558582418, 2.2557793789628517, 2.43624172927988, 2.598657844565205, 2.7249814897871247, 2.8513051350090444, 2.940445779165466, 3.03067695432398, 3.1028618944507906, 3.1738259490685836, 3.227964654163692, 3.2821033592588007, 3.318195829322206, 3.344469806943833, 3.3625160419755358, 3.3986085120389413, 3.416654747070644, 3.434700982102347, 3.434700982102347, 3.434700982102347, 3.4527472171340494, 3.45274721713405, 3.4707934521657533, 3.488839687197456, 3.5068859222291584, 3.539279062776423, 3.5573252978081262, 3.5746441663009016]"
